cargo,dept,seats,party,votes
senador,Tacna,1,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,0
senador,Tacna,1,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",0
senador,Tacna,1,JUNTOS POR EL PERÚ,0
senador,Tacna,1,PODEMOS PERÚ,0
senador,Tacna,1,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0
senador,Tacna,1,FUERZA POPULAR,0
senador,Tacna,1,ALIANZA PARA EL PROGRESO,0
senador,Tacna,1,PARTIDO POLÍTICO COOPERACIÓN POPULAR,0
senador,Tacna,1,AHORA NACIÓN - AN,0
senador,Tacna,1,LIBERTAD POPULAR,0
senador,Tacna,1,UN CAMINO DIFERENTE,0
senador,Tacna,1,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0
senador,Tacna,1,PARTIDO POLÍTICO PERÚ PRIMERO,0
senador,Tacna,1,PARTIDO DEMOCRÁTICO SOMOS PERÚ,0
senador,Tacna,1,PARTIDO APRISTA PERUANO,0
senador,Tacna,1,RENOVACIÓN POPULAR,0
senador,Tacna,1,PARTIDO DEMÓCRATA UNIDO PERÚ,0
senador,Tacna,1,FUERZA Y LIBERTAD,0
senador,Tacna,1,UNIDAD NACIONAL,0
senador,Tacna,1,PARTIDO MORADO,0
senador,Tacna,1,VOTOS EN BLANCO,0
senador,Tacna,1,VOTOS NULOS,0
senador,Tumbes,1,VOTOS NULOS,3372
senador,Tumbes,1,VOTOS EN BLANCO,3232
senador,Tumbes,1,FUERZA POPULAR,2687
senador,Tumbes,1,PARTIDO PAÍS PARA TODOS,1171
senador,Tumbes,1,ALIANZA PARA EL PROGRESO,897
senador,Tumbes,1,JUNTOS POR EL PERÚ,799
senador,Tumbes,1,RENOVACIÓN POPULAR,756
senador,Tumbes,1,AHORA NACIÓN - AN,676
senador,Tumbes,1,PARTIDO DEL BUEN GOBIERNO,667
senador,Tumbes,1,PODEMOS PERÚ,636
senador,Tumbes,1,PARTIDO DEMOCRÁTICO SOMOS PERÚ,431
senador,Tumbes,1,FE EN EL PERÚ,274
senador,Tumbes,1,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",263
senador,Tumbes,1,PARTIDO POLÍTICO PERÚ PRIMERO,197
senador,Tumbes,1,PARTIDO APRISTA PERUANO,183
senador,Tumbes,1,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,166
senador,Tumbes,1,ALIANZA ELECTORAL VENCEREMOS,159
senador,Tumbes,1,PARTIDO FRENTE DE LA ESPERANZA 2021,150
senador,Tumbes,1,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,109
senador,Tumbes,1,UNIDAD NACIONAL,100
senador,Tumbes,1,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,90
senador,Tumbes,1,LIBERTAD POPULAR,85
senador,Tumbes,1,PARTIDO DEMÓCRATA VERDE,60
senador,Tumbes,1,PARTIDO MORADO,56
senador,Tumbes,1,UN CAMINO DIFERENTE,45
senador,Tumbes,1,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,45
senador,Tumbes,1,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,37
senador,Tumbes,1,PROGRESEMOS,34
senador,Tumbes,1,PARTIDO POLÍTICO COOPERACIÓN POPULAR,30
senador,Tumbes,1,SALVEMOS AL PERÚ,24
senador,Tumbes,1,FUERZA Y LIBERTAD,21
senador,Tumbes,1,PARTIDO POLÍTICO PERÚ ACCIÓN,20
senador,Tumbes,1,PARTIDO DEMOCRATICO FEDERAL,15
senador,Ucayali,1,VOTOS EN BLANCO,4306
senador,Ucayali,1,FUERZA POPULAR,2747
senador,Ucayali,1,VOTOS NULOS,2081
senador,Ucayali,1,PARTIDO CÍVICO OBRAS,423
senador,Ucayali,1,RENOVACIÓN POPULAR,331
senador,Ucayali,1,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,301
senador,Ucayali,1,PODEMOS PERÚ,282
senador,Ucayali,1,PARTIDO DEMÓCRATA UNIDO PERÚ,281
senador,Ucayali,1,AHORA NACIÓN - AN,259
senador,Ucayali,1,PARTIDO DEMOCRÁTICO SOMOS PERÚ,186
senador,Ucayali,1,PARTIDO PAÍS PARA TODOS,167
senador,Ucayali,1,PROGRESEMOS,149
senador,Ucayali,1,PARTIDO DEL BUEN GOBIERNO,133
senador,Ucayali,1,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,115
senador,Ucayali,1,ALIANZA PARA EL PROGRESO,89
senador,Ucayali,1,PARTIDO DEMÓCRATA VERDE,72
senador,Ucayali,1,PARTIDO APRISTA PERUANO,64
senador,Ucayali,1,FE EN EL PERÚ,63
senador,Ucayali,1,ALIANZA ELECTORAL VENCEREMOS,60
senador,Ucayali,1,PARTIDO POLÍTICO PERÚ PRIMERO,60
senador,Ucayali,1,PARTIDO FRENTE DE LA ESPERANZA 2021,56
senador,Ucayali,1,PARTIDO POLÍTICO COOPERACIÓN POPULAR,28
senador,Ucayali,1,UNIDAD NACIONAL,26
senador,Ucayali,1,PARTIDO POLÍTICO PRIN,19
senador,Ucayali,1,LIBERTAD POPULAR,17
senador,Ucayali,1,FUERZA Y LIBERTAD,16
senador,Ucayali,1,PARTIDO POLÍTICO PERÚ ACCIÓN,13
senador,Ucayali,1,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,12
senador,Ucayali,1,UN CAMINO DIFERENTE,9
senador,Ucayali,1,PARTIDO MORADO,8
senador,Ucayali,1,PERÚ MODERNO,3
senador,PEX,1,VOTOS NULOS,8214
senador,PEX,1,RENOVACIÓN POPULAR,7280
senador,PEX,1,VOTOS EN BLANCO,3549
senador,PEX,1,FUERZA POPULAR,3539
senador,PEX,1,PARTIDO DEL BUEN GOBIERNO,3289
senador,PEX,1,AHORA NACIÓN - AN,2231
senador,PEX,1,PARTIDO CÍVICO OBRAS,2067
senador,PEX,1,PARTIDO PAÍS PARA TODOS,1879
senador,PEX,1,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",1168
senador,PEX,1,JUNTOS POR EL PERÚ,612
senador,PEX,1,PARTIDO APRISTA PERUANO,465
senador,PEX,1,PARTIDO SICREO,385
senador,PEX,1,PARTIDO FRENTE DE LA ESPERANZA 2021,278
senador,PEX,1,UN CAMINO DIFERENTE,268
senador,PEX,1,ALIANZA ELECTORAL VENCEREMOS,212
senador,PEX,1,UNIDAD NACIONAL,188
senador,PEX,1,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,185
senador,PEX,1,PARTIDO DEMOCRÁTICO SOMOS PERÚ,159
senador,PEX,1,PARTIDO MORADO,153
senador,PEX,1,LIBERTAD POPULAR,146
senador,PEX,1,ALIANZA PARA EL PROGRESO,145
senador,PEX,1,PARTIDO DEMÓCRATA UNIDO PERÚ,135
senador,PEX,1,PARTIDO DEMÓCRATA VERDE,127
senador,PEX,1,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,117
senador,PEX,1,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,111
senador,PEX,1,PODEMOS PERÚ,100
senador,PEX,1,PARTIDO POLÍTICO COOPERACIÓN POPULAR,99
senador,PEX,1,PARTIDO POLÍTICO PERÚ PRIMERO,76
senador,PEX,1,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,74
senador,PEX,1,PARTIDO POLÍTICO PERÚ ACCIÓN,55
senador,PEX,1,FUERZA Y LIBERTAD,49
senador,PEX,1,PERÚ MODERNO,20
senador,PEX,1,SALVEMOS AL PERÚ,20
senador,Nacional,30,VOTOS NULOS,818442
senador,Nacional,30,RENOVACIÓN POPULAR,793956
senador,Nacional,30,FUERZA POPULAR,721558
senador,Nacional,30,PARTIDO DEL BUEN GOBIERNO,666461
senador,Nacional,30,VOTOS EN BLANCO,571957
senador,Nacional,30,AHORA NACIÓN - AN,436679
senador,Nacional,30,PARTIDO CÍVICO OBRAS,411886
senador,Nacional,30,JUNTOS POR EL PERÚ,342138
senador,Nacional,30,PARTIDO PAÍS PARA TODOS,310005
senador,Nacional,30,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",217992
senador,Nacional,30,PARTIDO SICREO,155040
senador,Nacional,30,ALIANZA PARA EL PROGRESO,100717
senador,Nacional,30,PARTIDO APRISTA PERUANO,91409
senador,Nacional,30,PODEMOS PERÚ,84121
senador,Nacional,30,PARTIDO FRENTE DE LA ESPERANZA 2021,73551
senador,Nacional,30,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,67539
senador,Nacional,30,PARTIDO DEMOCRÁTICO SOMOS PERÚ,55887
senador,Nacional,30,PROGRESEMOS,53360
senador,Nacional,30,PARTIDO POLÍTICO COOPERACIÓN POPULAR,41552
senador,Nacional,30,PARTIDO POLÍTICO PERÚ PRIMERO,37806
senador,Nacional,30,PARTIDO DEMÓCRATA UNIDO PERÚ,32973
senador,Nacional,30,PARTIDO PATRIÓTICO DEL PERÚ,32900
senador,Nacional,30,ALIANZA ELECTORAL VENCEREMOS,32615
senador,Nacional,30,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,32261
senador,Nacional,30,PARTIDO MORADO,28311
senador,Nacional,30,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,26245
senador,Nacional,30,LIBERTAD POPULAR,26211
senador,Nacional,30,UNIDAD NACIONAL,24823
senador,Nacional,30,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,21088
senador,Nacional,30,PARTIDO DEMÓCRATA VERDE,18653
senador,Nacional,30,UN CAMINO DIFERENTE,16793
senador,Nacional,30,FUERZA Y LIBERTAD,10270
senador,Nacional,30,FE EN EL PERÚ,8008
senador,Nacional,30,PARTIDO POLÍTICO PERÚ ACCIÓN,6566
senador,Nacional,30,PARTIDO POLÍTICO PRIN,6398
senador,Nacional,30,PARTIDO DEMOCRATICO FEDERAL,5978
senador,Nacional,30,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,5405
